ADDRESS,SQFT,BEDS,BATHS,BTH_STYLE,KITCH_STYLE,PROPERTY_TYPE,YRS_SINCE_REMOD,HOA_FEES,NEIGHBORHOOD,PROPERTY_TYPE,AGE_OF_HOME,LIST_PRICE,DAYS_ON_MKT,AVE_PRICE_IN_NEIGHBORHOOD
29 Percival St,3829.0,5.0,2.0,M,M,Single Family Residential,18.0,0.0,Dorchester,Single Family Residential,119.0,839000.0,55.0,562529.161971831
28 Church St #3,1085.0,2.0,1.0,M,M,Condo/Co-op,14.0,240.0,Dorchester,Condo/Co-op,114.0,439000.0,35.0,562529.161971831
26 Percival St,3780.0,8.0,3.0,N,N,Multi-Family (2-4 Unit),99.0,0.0,Dorchester,Multi-Family (2-4 Unit),99.0,829000.0,29.0,562529.161971831
15 Hecla St,4029.0,11.0,3.0,N,N,Multi-Family (2-4 Unit),119.0,0.0,Dorchester's Savin Hill,Multi-Family (2-4 Unit),119.0,1080000.0,63.0,587871.7603305785
33 Adams St #5,777.0,1.0,1.0,M,M,Condo/Co-op,14.0,150.0,Dorchester,Condo/Co-op,84.0,325000.0,35.0,562529.161971831
33 Adams St #1,1180.0,2.0,2.0,M,M,Condo/Co-op,14.0,215.0,Dorchester,Condo/Co-op,84.0,439000.0,36.0,562529.161971831
152 Old Colony Ave #13,1058.0,2.0,2.0,M,M,Condo/Co-op,13.0,312.0,South Boston,Condo/Co-op,13.0,699000.0,22.0,769346.4857594938
142 D St #1,995.0,2.0,1.5,M,M,Condo/Co-op,12.0,160.0,South Boston,Condo/Co-op,129.0,575000.0,32.0,769346.4857594938
205 E St Unit 3-N,1093.0,2.0,2.0,L,M,Condo/Co-op,2.0,298.0,South Boston,Condo/Co-op,2.0,813750.0,23.0,769346.4857594938
122 D St #2,357.0,1.0,1.0,S,S,Condo/Co-op,15.0,164.0,South Boston,Condo/Co-op,120.0,319000.0,35.0,769346.4857594938
85 Baxter St #2,923.0,3.0,1.0,M,S,Condo/Co-op,32.0,200.0,South Boston,Condo/Co-op,119.0,525000.0,21.0,769346.4857594938
191 W EIGHTH St #6,1515.0,2.0,2.0,M,M,Condo/Co-op,4.0,262.0,South Boston,Condo/Co-op,4.0,999000.0,91.0,769346.4857594938
205 E St Unit 2-S,1188.0,2.0,2.0,L,L,Condo/Co-op,2.0,328.0,South Boston,Condo/Co-op,2.0,896250.0,44.0,769346.4857594938
152 Old Colony Ave #11,1011.0,2.0,2.0,M,M,Condo/Co-op,13.0,297.0,South Boston,Condo/Co-op,13.0,749000.0,22.0,769346.4857594938
205 E St Unit 3-S,1127.0,2.0,2.0,L,L,Condo/Co-op,2.0,350.0,South Boston,Condo/Co-op,2.0,873425.0,37.0,769346.4857594938
283 Dorchester St #2,741.0,2.0,1.0,M,M,Condo/Co-op,5.0,145.0,South Boston,Condo/Co-op,99.0,499900.0,37.0,769346.4857594938
227 D St #3,776.0,2.0,1.0,M,M,Condo/Co-op,19.0,117.0,South Boston,Condo/Co-op,99.0,549000.0,129.0,769346.4857594938
237 Dorchester St #1,1368.0,3.0,2.0,M,M,Condo/Co-op,29.0,190.0,South Boston,Condo/Co-op,119.0,629000.0,45.0,769346.4857594938
161 Tudor St #1,1495.0,2.0,2.0,M,M,Condo/Co-op,8.0,215.0,South Boston,Condo/Co-op,8.0,1039000.0,39.0,769346.4857594938
93 Baxter St,1504.0,4.0,3.0,S,S,Multi-Family (2-4 Unit),29.0,0.0,South Boston,Multi-Family (2-4 Unit),99.0,949900.0,35.0,769346.4857594938
2 Cottage St #1,1292.0,2.0,2.5,M,M,Condo/Co-op,3.0,216.0,South Boston,Condo/Co-op,3.0,759000.0,35.0,769346.4857594938
20 Loring St,1320.0,3.0,1.5,M,M,Single Family Residential,15.0,0.0,South Boston,Single Family Residential,129.0,719000.0,37.0,769346.4857594938
68 Middle St #3,700.0,1.0,1.0,M,M,Condo/Co-op,14.0,125.0,South Boston,Condo/Co-op,109.0,499000.0,9.0,769346.4857594938
285 Dorchester St #2,765.0,2.0,1.0,S,S,Condo/Co-op,32.0,270.0,South Boston,Condo/Co-op,99.0,525000.0,44.0,769346.4857594938
152 Old Colony Ave #2,1188.0,2.0,2.0,M,M,Condo/Co-op,13.0,340.0,South Boston,Condo/Co-op,13.0,709000.0,31.0,769346.4857594938
156 Porter St #312,1018.0,2.0,1.0,M,M,Condo/Co-op,15.0,270.0,East Boston's Jeffries Point,Condo/Co-op,109.0,429227.0,78.0,577752.3559322035
156 Porter St #418,1080.0,1.0,2.0,M,M,Condo/Co-op,15.0,473.0,East Boston's Jeffries Point,Condo/Co-op,109.0,649000.0,51.0,577752.3559322035
1280 Washington St #301,2152.0,3.0,2.5,M,M,Condo/Co-op,4.0,648.0,South End,Condo/Co-op,17.0,2649000.0,88.0,1109405.737771739
90 Wareham St #216,732.0,1.0,1.0,M,M,Condo/Co-op,13.0,349.0,South End,Condo/Co-op,13.0,579000.0,35.0,1109405.737771739
35 Fay St Unit E401,805.0,1.0,1.0,M,M,Condo/Co-op,13.0,616.0,South End,Condo/Co-op,13.0,799000.0,52.0,1109405.737771739
2 Rollins St Unit D-604,1049.0,1.0,2.0,M,M,Condo/Co-op,17.0,525.0,South End,Condo/Co-op,17.0,1100000.0,47.0,1109405.737771739
1180-1200 Washington St #223,2116.0,3.0,2.0,M,M,Condo/Co-op,2.0,951.0,South End,Condo/Co-op,20.0,1695000.0,53.0,1109405.737771739
17 Savoy St Unit D110,1678.0,3.0,2.5,M,M,Condo/Co-op,2.0,925.0,South End,Condo/Co-op,17.0,1849000.0,23.0,1109405.737771739
54 Pinckney St,2750.0,4.0,3.0,S,S,Single Family Residential,185.0,0.0,Beacon Hill,Single Family Residential,185.0,2900000.0,43.0,1108321.586419753
109-111 Webster St #1,1223.0,2.0,2.0,M,M,Condo/Co-op,31.0,385.0,East Boston's Jeffries Point,Condo/Co-op,31.0,599000.0,48.0,577752.3559322035
269 Sumner St #3,770.0,2.0,1.0,S,S,Condo/Co-op,35.0,170.0,East Boston's Jeffries Point,Condo/Co-op,109.0,449900.0,68.0,577752.3559322035
10 Orleans St #205,970.0,2.0,2.0,S,S,Condo/Co-op,34.0,332.0,East Boston's Jeffries Point,Condo/Co-op,34.0,525000.0,29.0,577752.3559322035
150 Orleans St #404,1078.0,2.0,2.0,S,S,Condo/Co-op,31.0,537.0,East Boston's Jeffries Point,Condo/Co-op,99.0,619000.0,40.0,577752.3559322035
150 Orleans St #302,992.0,2.0,2.0,S,M,Condo/Co-op,2.0,508.0,East Boston's Jeffries Point,Condo/Co-op,99.0,539000.0,33.0,577752.3559322035
18 Bremen St #1,505.0,1.0,1.0,S,S,Condo/Co-op,15.0,109.0,East Boston,Condo/Co-op,119.0,324900.0,37.0,577539.0482315114
61 Webster St #2,627.0,1.0,1.0,S,M,Condo/Co-op,2.0,241.0,East Boston's Jeffries Point,Condo/Co-op,120.0,425000.0,34.0,577752.3559322035
150 Orleans St #602,992.0,2.0,2.0,S,S,Condo/Co-op,9.0,533.0,East Boston's Jeffries Point,Condo/Co-op,99.0,599000.0,62.0,577752.3559322035
186-188 Paris St #5,954.0,2.0,2.0,M,M,Condo/Co-op,2.0,350.0,East Boston,Condo/Co-op,3.0,535000.0,32.0,577539.0482315114
104 Paris St #2,842.0,2.0,1.0,S,M,Condo/Co-op,109.0,265.0,East Boston,Condo/Co-op,109.0,399000.0,41.0,577539.0482315114
168 Chelsea St #2,1115.0,2.0,1.0,M,M,Condo/Co-op,107.0,172.0,East Boston,Condo/Co-op,107.0,449900.0,50.0,577539.0482315114
196 Bremen St,2862.0,6.0,3.0,S,S,Multi-Family (2-4 Unit),21.0,0.0,East Boston,Multi-Family (2-4 Unit),109.0,899999.0,44.0,577539.0482315114
223 London St,3099.0,5.0,3.0,S,S,Multi-Family (2-4 Unit),119.0,0.0,East Boston,Multi-Family (2-4 Unit),119.0,749000.0,46.0,577539.0482315114
191 K St #1,1107.0,2.0,2.5,M,L,Condo/Co-op,13.0,372.0,South Boston,Condo/Co-op,13.0,849000.0,48.0,769346.4857594938
780 E Broadway Unit 1B,740.0,1.0,1.0,S,M,Condo/Co-op,36.0,366.0,South Boston,Condo/Co-op,119.0,479000.0,54.0,769346.4857594938
572 E Broadway #4,725.0,1.0,1.0,M,M,Condo/Co-op,119.0,150.0,South Boston,Condo/Co-op,119.0,499000.0,44.0,769346.4857594938
340 W Third St #3,580.0,1.0,1.0,M,M,Condo/Co-op,6.0,135.0,South Boston,Condo/Co-op,139.0,499000.0,43.0,769346.4857594938
540 E Third St,2120.0,4.0,3.5,L,L,Single Family Residential,7.0,0.0,South Boston,Single Family Residential,129.0,1199000.0,23.0,769346.4857594938
39 I St #1,605.0,1.0,1.0,M,M,Condo/Co-op,9.0,190.0,South Boston,Condo/Co-op,129.0,475000.0,46.0,769346.4857594938
58-60 I St #1,922.0,3.0,1.5,M,M,Condo/Co-op,32.0,167.0,South Boston,Condo/Co-op,119.0,749900.0,37.0,769346.4857594938
39 Emerson St,1650.0,3.0,2.5,M,M,Single Family Residential,9.0,0.0,South Boston,Single Family Residential,129.0,969000.0,35.0,769346.4857594938
738 E Third St,1806.0,4.0,3.0,M,M,Multi-Family (2-4 Unit),5.0,0.0,South Boston,Multi-Family (2-4 Unit),94.0,1149000.0,43.0,769346.4857594938
50 P St,2817.0,5.0,3.5,L,M,Single Family Residential,6.0,0.0,South Boston,Single Family Residential,129.0,1299000.0,48.0,769346.4857594938
762 E Broadway #1,806.0,2.0,1.0,S,S,Condo/Co-op,31.0,140.0,South Boston,Condo/Co-op,119.0,510000.0,57.0,769346.4857594938
66 N St #4,1562.0,3.0,2.0,M,M,Townhouse,32.0,310.0,South Boston,Townhouse,120.0,799000.0,60.0,769346.4857594938
59 P St #2,548.0,1.0,1.0,M,M,Condo/Co-op,16.0,145.0,South Boston,Condo/Co-op,129.0,499000.0,51.0,769346.4857594938
410 E Third St #2,906.0,2.0,1.5,M,M,Condo/Co-op,13.0,125.0,South Boston,Condo/Co-op,99.0,599000.0,49.0,769346.4857594938
18 Dorchester St #2,678.0,2.0,1.0,M,M,Condo/Co-op,15.0,107.0,South Boston,Condo/Co-op,119.0,525000.0,23.0,769346.4857594938
56 H St #2,798.0,2.0,1.0,M,S,Condo/Co-op,7.0,125.0,South Boston,Condo/Co-op,21.0,599000.0,39.0,769346.4857594938
64 O St,2400.0,4.0,3.0,,,Multi-Family (2-4 Unit),20.0,0.0,South Boston,Multi-Family (2-4 Unit),129.0,850000.0,163.0,769346.4857594938
49 L St #3,1126.0,2.0,2.0,M,M,Condo/Co-op,5.0,365.0,South Boston,Condo/Co-op,6.0,799000.0,72.0,769346.4857594938
809 E Broadway,3784.0,4.0,4.0,,,Multi-Family (2-4 Unit),39.0,0.0,South Boston,Multi-Family (2-4 Unit),109.0,1999000.0,64.0,769346.4857594938
39 Dorchester St #3,1227.0,2.0,2.0,S,S,Condo/Co-op,20.0,390.0,South Boston,Condo/Co-op,20.0,739000.0,35.0,769346.4857594938
486 E Third St #11,824.0,2.0,1.0,S,S,Condo/Co-op,28.0,250.0,South Boston,Condo/Co-op,119.0,629000.0,61.0,769346.4857594938
108 Emerson St #2,945.0,2.0,2.0,M,M,Condo/Co-op,14.0,193.0,South Boston,Condo/Co-op,129.0,549000.0,45.0,769346.4857594938
581 E Broadway #2,1935.0,4.0,2.0,M,M,Condo/Co-op,18.0,260.0,South Boston,Condo/Co-op,129.0,1195000.0,63.0,769346.4857594938
853 E BROADWAY,3714.0,6.0,3.5,M,M,Single Family Residential,21.0,0.0,South Boston,Single Family Residential,129.0,2599000.0,26.0,769346.4857594938
52 O St #1,848.0,2.0,1.0,M,M,Condo/Co-op,7.0,210.0,South Boston,Condo/Co-op,120.0,549000.0,99.0,769346.4857594938
69 I St,2622.0,6.0,3.0,M,M,Multi-Family (2-4 Unit),17.0,0.0,South Boston,Multi-Family (2-4 Unit),129.0,1199000.0,30.0,769346.4857594938
780 E Broadway Unit 3B,1328.0,2.0,2.0,S,S,Condo/Co-op,36.0,637.0,South Boston,Condo/Co-op,119.0,840000.0,48.0,769346.4857594938
34-36 H St Unit 2L,961.0,2.0,2.0,M,M,Condo/Co-op,8.0,552.0,South Boston,Condo/Co-op,16.0,695000.0,39.0,769346.4857594938
758 E Broadway,2204.0,5.0,1.0,M,S,Single Family Residential,54.0,0.0,South Boston,Single Family Residential,149.0,1149000.0,51.0,769346.4857594938
486 E Third St #6,905.0,2.0,1.0,M,M,Condo/Co-op,28.0,288.0,South Boston,Condo/Co-op,119.0,649000.0,36.0,769346.4857594938
62 H St #2,843.0,2.0,1.0,M,M,Condo/Co-op,11.0,203.0,South Boston,Condo/Co-op,129.0,619000.0,44.0,769346.4857594938
466 E Third St #1,839.0,2.0,1.0,M,M,Condo/Co-op,2.0,250.0,South Boston,Condo/Co-op,109.0,599000.0,67.0,769346.4857594938
18 Emerson St #3,681.0,1.0,1.0,M,M,Condo/Co-op,14.0,125.0,South Boston,Condo/Co-op,129.0,499000.0,50.0,769346.4857594938
838 E Broadway #1,443.0,1.0,1.0,M,M,Condo/Co-op,2.0,177.0,South Boston,Condo/Co-op,150.0,419000.0,35.0,769346.4857594938
357 Commercial St #706,1700.0,3.0,2.5,S,S,Condo/Co-op,32.0,844.0,Waterfront,Condo/Co-op,32.0,899000.0,86.0,1175421.3673469387
139 Fulton St #1,784.0,1.0,1.0,M,M,Condo/Co-op,34.0,289.0,Waterfront,Condo/Co-op,84.0,699900.0,39.0,1175421.3673469387
186 Salem St #3,520.0,1.0,1.0,S,S,Condo/Co-op,20.0,270.0,North End,Condo/Co-op,119.0,525000.0,42.0,713586.6813186812
243 North St #4,628.0,1.0,1.0,M,S,Condo/Co-op,42.0,271.0,North End,Condo/Co-op,99.0,595000.0,56.0,713586.6813186812
4 N Bennet Ct #4,310.0,1.0,1.0,M,M,Condo/Co-op,15.0,143.0,North End,Condo/Co-op,120.0,389900.0,37.0,713586.6813186812
357 Commercial St #809,1254.0,2.0,1.5,L,L,Condo/Co-op,11.0,790.0,Waterfront,Condo/Co-op,32.0,1049000.0,28.0,1175421.3673469387
7 Unity St #2,575.0,1.0,1.0,M,M,Condo/Co-op,36.0,132.0,North End,Condo/Co-op,109.0,499000.0,42.0,713586.6813186812
56 Prince St #11,523.0,2.0,1.0,S,S,Condo/Co-op,39.0,197.0,North End,Condo/Co-op,119.0,475000.0,59.0,713586.6813186812
63 Atlantic Ave Unit 7A,1065.0,1.0,1.0,M,M,Condo/Co-op,22.0,1163.0,Waterfront,Condo/Co-op,101.0,1199000.0,31.0,1175421.3673469387
16 Foster St #5,408.0,1.0,1.0,S,S,Condo/Co-op,54.0,161.0,North End,Condo/Co-op,139.0,425000.0,39.0,713586.6813186812
160 Salem St #11,448.0,1.0,1.0,S,S,Condo/Co-op,35.0,208.0,North End,Condo/Co-op,109.0,449900.0,36.0,713586.6813186812
8 Unity St,3098.0,9.0,4.0,S,S,Multi-Family (2-4 Unit),18.0,0.0,North End,Multi-Family (2-4 Unit),120.0,2350000.0,43.0,713586.6813186812
343 Commercial St #202,1562.0,2.0,2.0,M,M,Condo/Co-op,2.0,868.0,Waterfront,Condo/Co-op,189.0,1899000.0,83.0,1175421.3673469387
300 Princeton St,1167.0,3.0,1.5,M,M,Single Family Residential,119.0,0.0,East Boston,Single Family Residential,119.0,399900.0,59.0,577539.0482315114
336 Saratoga St #7,1435.0,2.0,1.5,M,M,Condo/Co-op,13.0,292.0,East Boston,Condo/Co-op,96.0,525000.0,62.0,577539.0482315114
229 Princeton St #1,827.0,2.0,1.0,M,M,Condo/Co-op,2.0,216.0,East Boston,Condo/Co-op,119.0,459000.0,46.0,577539.0482315114
326 Chelsea St,3183.0,8.0,3.0,S,S,Multi-Family (2-4 Unit),104.0,0.0,East Boston,Multi-Family (2-4 Unit),104.0,1150000.0,82.0,577539.0482315114
456 Saratoga St,4458.0,9.0,3.0,S,S,Multi-Family (2-4 Unit),109.0,0.0,East Boston,Multi-Family (2-4 Unit),109.0,1039721.0,35.0,577539.0482315114
202 Falcon St,1944.0,7.0,2.0,S,S,Multi-Family (2-4 Unit),18.0,0.0,East Boston,Multi-Family (2-4 Unit),109.0,799000.0,53.0,577539.0482315114
229 Princeton St #3,593.0,2.0,1.0,M,M,Condo/Co-op,2.0,156.0,East Boston,Condo/Co-op,139.0,379000.0,63.0,577539.0482315114
239 Lexington St,4336.0,8.0,3.0,N,S,Multi-Family (2-4 Unit),119.0,0.0,East Boston,Multi-Family (2-4 Unit),119.0,999900.0,54.0,577539.0482315114
12 School St #1,1247.0,2.0,2.0,M,M,Condo/Co-op,14.0,134.0,Charlestown,Condo/Co-op,129.0,789000.0,54.0,842946.4683301344
172 Bunker Hill St #3,879.0,1.0,1.0,M,M,Condo/Co-op,34.0,155.0,Charlestown,Condo/Co-op,99.0,539000.0,42.0,842946.4683301344
27 Trenton St #2,961.0,2.0,2.0,M,M,Condo/Co-op,15.0,217.0,Charlestown,Condo/Co-op,141.0,829000.0,28.0,842946.4683301344
103 Elm St,938.0,2.0,1.5,S,S,Single Family Residential,149.0,0.0,Charlestown,Single Family Residential,149.0,779000.0,32.0,842946.4683301344
40 Monument Ave,2258.0,3.0,2.5,M,M,Single Family Residential,15.0,0.0,Charlestown,Single Family Residential,159.0,2295000.0,49.0,842946.4683301344
70 Green St,2100.0,4.0,2.5,L,L,Single Family Residential,2.0,0.0,Charlestown,Single Family Residential,134.0,1499000.0,44.0,842946.4683301344
54 Bartlett St,1736.0,3.0,3.0,M,M,Single Family Residential,7.0,0.0,Charlestown,Single Family Residential,7.0,1399000.0,39.0,842946.4683301344
7 Cedar St #1,645.0,1.0,1.0,M,M,Condo/Co-op,22.0,150.0,Charlestown,Condo/Co-op,129.0,549000.0,35.0,842946.4683301344
7 Concord Ave,2437.0,4.0,3.0,L,M,Single Family Residential,7.0,0.0,Charlestown,Single Family Residential,174.0,1499000.0,45.0,842946.4683301344
39 Russell St,2016.0,3.0,2.5,M,M,Single Family Residential,19.0,0.0,Charlestown,Single Family Residential,159.0,1349000.0,48.0,842946.4683301344
113 High St #3,754.0,1.0,1.0,M,M,Condo/Co-op,15.0,100.0,Charlestown,Condo/Co-op,139.0,525000.0,37.0,842946.4683301344
69 High St #3,1924.0,3.0,2.5,M,M,Townhouse,16.0,392.0,Charlestown,Townhouse,144.0,1320000.0,42.0,842946.4683301344
21 Mystic St #1,628.0,2.0,1.0,S,S,Condo/Co-op,26.0,150.0,Charlestown,Condo/Co-op,144.0,499000.0,32.0,842946.4683301344
19 Elm St #1,1285.0,3.0,2.0,M,M,Condo/Co-op,4.0,210.0,Charlestown,Condo/Co-op,139.0,879000.0,31.0,842946.4683301344
22 Park St #1,655.0,1.0,1.0,M,M,Condo/Co-op,14.0,150.0,Charlestown,Condo/Co-op,129.0,545000.0,35.0,842946.4683301344
13 Allston St,2575.0,4.0,2.5,M,S,Single Family Residential,24.0,0.0,Charlestown,Single Family Residential,149.0,1249000.0,32.0,842946.4683301344
27 Monument Sq #1,591.0,1.0,1.0,M,M,Condo/Co-op,2.0,175.0,Charlestown,Condo/Co-op,120.0,549000.0,63.0,842946.4683301344
10 Lexington Ave,1356.0,2.0,2.5,M,M,Single Family Residential,7.0,0.0,Charlestown,Single Family Residential,184.0,789000.0,60.0,842946.4683301344
19 Prospect St #1,1025.0,2.0,2.0,M,L,Condo/Co-op,2.0,265.0,Charlestown,Condo/Co-op,18.0,825000.0,31.0,842946.4683301344
86 Green St,2100.0,4.0,2.5,M,M,Single Family Residential,17.0,0.0,Charlestown,Single Family Residential,134.0,1275000.0,87.0,842946.4683301344
299 Bunker Hill St #2,1150.0,3.0,2.0,S,S,Condo/Co-op,34.0,0.0,Charlestown,Condo/Co-op,139.0,739000.0,32.0,842946.4683301344
23 Monument Sq #2,1200.0,2.0,2.0,M,M,Condo/Co-op,10.0,120.0,Charlestown,Condo/Co-op,129.0,899000.0,68.0,842946.4683301344
20 Soley St #2,995.0,2.0,1.0,M,M,Condo/Co-op,33.0,150.0,Charlestown,Condo/Co-op,149.0,679000.0,27.0,842946.4683301344
9 Mystic St #2,1473.0,3.0,3.5,L,L,Townhouse,2.0,152.0,Charlestown,Townhouse,134.0,1149000.0,52.0,842946.4683301344
30 Monument Sq #104,1139.0,2.0,1.5,M,M,Condo/Co-op,34.0,535.0,Charlestown,Condo/Co-op,111.0,849000.0,49.0,842946.4683301344
15 Bartlett St #1,1022.0,2.0,2.0,M,M,Condo/Co-op,34.0,202.0,Charlestown,Condo/Co-op,114.0,699000.0,35.0,842946.4683301344
105 Rutherford Ave #3,706.0,1.0,1.0,M,M,Condo/Co-op,9.0,175.0,Charlestown,Condo/Co-op,144.0,619000.0,33.0,842946.4683301344
14 Monument St #1,608.0,1.0,1.0,M,M,Condo/Co-op,16.0,112.0,Charlestown,Condo/Co-op,120.0,469000.0,51.0,842946.4683301344
13 Mystic St,2376.0,4.0,2.0,S,S,Multi-Family (2-4 Unit),134.0,0.0,Charlestown,Multi-Family (2-4 Unit),134.0,1100000.0,47.0,842946.4683301344
88 Elm St,1521.0,3.0,2.5,L,M,Single Family Residential,2.0,0.0,Charlestown,Single Family Residential,179.0,1149000.0,40.0,842946.4683301344
10 Austin St #2,1310.0,3.0,2.0,N,S,Townhouse,26.0,220.0,Charlestown,Townhouse,144.0,734000.0,35.0,842946.4683301344
5 Holden Row,2004.0,3.0,2.0,S,S,Multi-Family (2-4 Unit),139.0,0.0,Charlestown,Multi-Family (2-4 Unit),139.0,925000.0,45.0,842946.4683301344
247 Bunker Hill St Unit A,1075.0,2.0,1.5,S,S,Condo/Co-op,2.0,154.0,Charlestown,Condo/Co-op,129.0,620000.0,70.0,842946.4683301344
3 Harvard Pl #2,523.0,1.0,1.0,M,M,Condo/Co-op,15.0,90.0,Charlestown,Condo/Co-op,120.0,549900.0,39.0,842946.4683301344
68 Russell St #4,900.0,1.0,1.0,S,S,Condo/Co-op,35.0,260.0,Charlestown,Condo/Co-op,119.0,499000.0,45.0,842946.4683301344
44 Sullivan St,3344.0,4.0,4.5,L,L,Single Family Residential,7.0,0.0,Charlestown,Single Family Residential,7.0,1950000.0,100.0,842946.4683301344
6 Avon Pl,1203.0,3.0,1.5,S,S,Single Family Residential,38.0,0.0,Charlestown,Single Family Residential,174.0,699000.0,38.0,842946.4683301344
85 High St #2,855.0,2.0,2.0,M,M,Condo/Co-op,139.0,150.0,Charlestown,Condo/Co-op,139.0,729000.0,33.0,842946.4683301344
27 Cook St,2185.0,3.0,2.5,L,L,Single Family Residential,1.0,0.0,Charlestown,Single Family Residential,1.0,1625000.0,36.0,842946.4683301344
253-255 Main St #2,972.0,2.0,2.0,M,M,Condo/Co-op,25.0,150.0,Charlestown,Condo/Co-op,119.0,699000.0,41.0,842946.4683301344
62 Sullivan St #3,1205.0,1.0,1.5,M,M,Condo/Co-op,12.0,213.0,Charlestown,Condo/Co-op,129.0,719000.0,28.0,842946.4683301344
14 Sullivan St #3,1085.0,2.0,2.0,M,M,Townhouse,24.0,233.0,Charlestown,Townhouse,24.0,765000.0,79.0,842946.4683301344
45 Province St #2005,1998.0,3.0,2.5,L,L,Condo/Co-op,10.0,1707.0,Midtown,Condo/Co-op,10.0,2695000.0,64.0,1438016.4602272727
1 Franklin St #3405,898.0,1.0,1.0,L,L,Condo/Co-op,3.0,1115.0,Midtown,Condo/Co-op,3.0,1595000.0,42.0,1438016.4602272727
1 Avery St Unit 16G,1402.0,2.0,2.5,M,M,Condo/Co-op,19.0,1891.0,Midtown,Condo/Co-op,19.0,1745000.0,55.0,1438016.4602272727
1 Avery St Unit 30A,2242.0,3.0,3.5,M,M,Condo/Co-op,19.0,3382.0,Midtown,Condo/Co-op,19.0,2895000.0,59.0,1438016.4602272727
580 Washington St #1407,1162.0,2.0,2.0,L,L,Condo/Co-op,6.0,1337.0,Midtown,Condo/Co-op,6.0,1475000.0,41.0,1438016.4602272727
45 Province St #2302,1117.0,2.0,2.0,L,L,Condo/Co-op,12.0,991.0,Midtown,Condo/Co-op,12.0,1600000.0,20.0,1438016.4602272727
3 Avery St #305,1268.0,2.0,2.0,M,M,Condo/Co-op,15.0,2005.0,Midtown,Condo/Co-op,15.0,889000.0,39.0,1438016.4602272727
1 Franklin St #2001,923.0,1.0,1.0,L,L,Condo/Co-op,3.0,610.0,Midtown,Condo/Co-op,3.0,1350000.0,58.0,1438016.4602272727
45 Province St #1608,966.0,2.0,2.0,L,L,Condo/Co-op,10.0,867.0,Midtown,Condo/Co-op,10.0,1150000.0,27.0,1438016.4602272727
151 Tremont St Unit 9L,605.0,1.0,1.0,S,S,Condo/Co-op,36.0,423.0,Midtown,Condo/Co-op,351.0,699000.0,55.0,1438016.4602272727
151 Tremont St Unit 26H,605.0,1.0,1.0,M,M,Condo/Co-op,7.0,507.0,Midtown,Condo/Co-op,51.0,685000.0,35.0,1438016.4602272727
15 Sleeper St #205,1415.0,2.0,2.0,M,M,Condo/Co-op,3.0,666.0,Seaport District,Condo/Co-op,108.0,1500000.0,18.0,1137853.1846153846
33 Sleeper St #403,870.0,1.0,1.0,M,M,Condo/Co-op,5.0,608.0,Seaport District,Condo/Co-op,108.0,780000.0,75.0,1137853.1846153846
65 E India Row Unit 40D,750.0,1.0,1.0,M,M,Condo/Co-op,3.0,823.0,Waterfront,Condo/Co-op,47.0,849000.0,31.0,1175421.3673469387
500 Atlantic Ave Unit 17C,1132.0,2.0,1.5,L,L,Condo/Co-op,13.0,1167.0,Waterfront,Condo/Co-op,13.0,1325000.0,36.0,1175421.3673469387
346-354 Congress St #305,1019.0,2.0,2.0,M,M,Condo/Co-op,12.0,729.0,Seaport District,Condo/Co-op,120.0,949000.0,46.0,1137853.1846153846
99-105 Broad St Unit 8C,1354.0,2.0,2.0,M,M,Condo/Co-op,12.0,938.0,Waterfront,Condo/Co-op,160.0,1425000.0,57.0,1175421.3673469387
65 E India Row Unit 8B,1643.0,2.0,2.5,M,M,Condo/Co-op,49.0,1284.0,Waterfront,Condo/Co-op,49.0,1175000.0,30.0,1175421.3673469387
25 Channel Center St #211,1930.0,2.0,2.5,S,M,Condo/Co-op,15.0,846.0,Seaport District,Condo/Co-op,15.0,1395000.0,49.0,1137853.1846153846
346-354 Congress St #604,1316.0,2.0,2.5,M,L,Condo/Co-op,2.0,1122.0,Seaport District,Condo/Co-op,120.0,1399000.0,89.0,1137853.1846153846
82 Marion St,3312.0,7.0,5.5,S,S,Multi-Family (2-4 Unit),18.0,0.0,East Boston,Multi-Family (2-4 Unit),119.0,1000000.0,54.0,577539.0482315114
97 Condor St,1744.0,6.0,2.0,S,S,Multi-Family (2-4 Unit),19.0,0.0,East Boston,Multi-Family (2-4 Unit),129.0,499000.0,60.0,577539.0482315114
225 Saratoga St #2,775.0,2.0,2.0,M,M,Condo/Co-op,2.0,,East Boston,Condo/Co-op,119.0,389900.0,78.0,577539.0482315114
57 G St,2825.0,5.0,3.5,M,M,Multi-Family (2-4 Unit),3.0,0.0,South Boston,Multi-Family (2-4 Unit),129.0,1279900.0,53.0,769346.4857594938
504 E Broadway,2868.0,4.0,3.0,L,L,Single Family Residential,16.0,0.0,South Boston,Single Family Residential,144.0,1249000.0,65.0,769346.4857594938
257 Bolton St,1951.0,3.0,2.5,L,M,Single Family Residential,20.0,0.0,South Boston,Single Family Residential,20.0,1050000.0,57.0,769346.4857594938
76 G St,2522.0,6.0,3.0,M,S,Multi-Family (2-4 Unit),6.0,0.0,South Boston,Multi-Family (2-4 Unit),147.0,1350000.0,49.0,769346.4857594938
47-51 Dorchester St #15,725.0,2.0,1.0,M,M,Condo/Co-op,19.0,222.0,South Boston,Condo/Co-op,99.0,639000.0,43.0,769346.4857594938
