DIFF_FROM_NEIGHBOR_AVE_LIST_PRICE,HOA_FEES,YRS_SINCE_REMOD,AGE_OF_HOME,PROPERTY_TYPE_Condo/Co-op,PROPERTY_TYPE_Multi-Family (2-4 Unit),BTH_STYLE_M,KITCH_STYLE_M,trend
-162629.161971831,0.0,89.0,89.0,0,1,0,0,53.44233391370959
-38539.04823151127,285.0,3.0,107.0,1,0,1,1,53.54438576992164
-128752.35593220335,244.0,33.0,109.0,1,0,1,1,53.73336218674199
116053.53166986561,619.0,35.0,35.0,1,0,1,1,52.502177730649684
-319321.58641975303,209.0,2.0,119.0,0,0,1,1,53.44233391370959
237460.95176848874,0.0,109.0,109.0,0,1,1,1,53.45752870357929
22360.95176848874,0.0,109.0,109.0,0,1,0,0,53.658885394781244
-14586.681318681338,164.0,10.0,120.0,1,0,1,1,53.44233391370959
88655.90380313201,488.0,2.0,120.0,1,0,1,1,52.82029713961896
-204712.0365853659,0.0,55.0,69.0,0,0,0,0,53.17250077097781
-540344.096196868,297.0,40.0,139.0,1,0,1,0,52.82029713961896
-7415.371794871811,0.0,33.0,33.0,0,0,0,0,53.73336218674199
-263529.161971831,225.0,32.0,32.0,0,0,0,0,52.12104274268022
-132629.161971831,200.0,14.0,114.0,1,0,1,1,53.44233391370959
-318764.7543859649,200.0,33.0,121.0,0,0,1,0,52.502177730649684
-294405.73777173896,279.0,37.0,129.0,1,0,1,0,53.44233391370959
185594.26222826095,497.0,3.0,169.0,1,0,1,1,53.44233391370959
-43529.161971831,150.0,3.0,114.0,1,0,1,1,53.82884980492944
-147529.161971831,154.0,10.0,114.0,1,0,1,1,52.502177730649684
-243046.4683301344,185.0,13.0,13.0,0,0,1,1,53.44233391370959
-369405.73777173896,403.0,129.0,129.0,1,0,0,0,52.502177730649684
289594.26222826104,579.0,35.0,129.0,1,0,1,0,53.54438576992164
14655.903803132007,318.0,3.0,119.0,1,0,1,1,53.54438576992164
189655.90380313198,930.0,2.0,140.0,1,0,1,0,53.17250077097781
-461344.096196868,357.0,38.0,119.0,1,0,1,1,53.82884980492944
-162729.161971831,170.0,14.0,119.0,1,0,1,1,52.12104274268022
-242629.16197183105,180.0,17.0,120.0,1,0,0,0,53.54438576992164
95187.96341463413,0.0,2.0,84.0,0,1,1,1,52.502177730649684
-270346.4857594937,175.0,129.0,129.0,1,0,1,1,53.658885394781244
-364346.48575949366,124.0,129.0,129.0,1,0,1,1,52.502177730649684
-70346.48575949366,200.0,12.0,12.0,1,0,1,1,53.73336218674199
-84824.10777626197,200.0,17.0,120.0,1,0,0,1,52.502177730649684
-519016.4602272727,630.0,6.0,6.0,1,0,0,0,53.17250077097781
-38017.46022727271,994.0,6.0,6.0,1,0,0,0,53.74985170016183
-288824.107776262,160.0,14.0,94.0,1,0,1,0,52.502177730649684
436195.0,767.0,6.0,6.0,1,0,1,1,52.502177730649684
-561344.096196868,351.0,38.0,139.0,1,0,0,1,53.17250077097781
